key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_OPENINGLIMSALOMINSA_RYSSFLOH_000_02,"¡Ahoy! ¿¡A donde demonios crees que vas camarada!? ¡Te he dicho que vengas aquí!"
1,TEXT_OPENINGLIMSALOMINSA_FZHUMII_000_03,"¡Alto ahí! Si estás buscando a Baderon lo encontrarás en Drowning Wench. Sería conveniente que hablaras con Grehfarr; él podrá ayudarte a llegar."
2,TEXT_OPENINGLIMSALOMINSA_AHLDSKYF_000_05,"¡Detente! Si deseas aventurarte en Limsa Lominsa y sobrevivir a tu primer día en la ciudad te sugiero que, en primer lugar, visites Drowning Wench y hables con Baderon."
3,TEXT_OPENINGLIMSALOMINSA_ABYLFARR_000_07,Por curiosidad ¿Te has registrado ya en el Gremio de Aventureros? Parece que no. Da media vuelta y dirígete hacia el "Crow's Lift". Baderon querrá tener unas palabras contigo.
4,TEXT_OPENINGLIMSALOMINSA_SDHODJBI_000_09,"No quiero ser maleducado pero, reconozco a un nuevo aventurero cuando lo veo. Créeme cuando te digo que sería mejor que hablaras con las personas indicadas antes de comenzar a deambular por la ciudad sin tener ni idea de cómo funcionan las cosas aquí."
5,TEXT_OPENINGLIMSALOMINSA_QUENTENAIN_000_11,¡Alto ahí! Antes de que salgas por esa puerta y seas emboscado por algún canalla querrás aprovechar la sabiduría que los clientes y el dueño de Drowning Wench pueden ofrecerte.
6,TEXT_OPENINGLIMSALOMINSA_SKAENRAEL_000_13,"Un poco pronto para irte, ¿no crees? ¿Ya has escuchado todo lo que ese tipo grande y sospechoso de detrás de la barra tiene que decirte? Si es así, deberías saber que es de buena educación dedicar un momento a quienes lo necesitan, como esa Lalafell de la mesa que no ha dejado de mirarte."
7,TEXT_OPENINGLIMSALOMINSA_SEA_SYSTEM_000_20,"Te damos la Bienvenida a Limsa Lominsa, una bulliciosa ciudad-estado llena de bribones y bandidos, diamante en bruto del Mar de Rhotano."
8,TEXT_OPENINGLIMSALOMINSA_SEA_SYSTEM_000_21,Sigue las instrucciones para mover tu personaje y ajustar la posición de la cámara.
9,TEXT_OPENINGLIMSALOMINSA_SEA_SYSTEM_000_22,Cuando estés listo para proceder habla con Ryssfloh.
10,TEXT_OPENINGLIMSALOMINSA_FST_SYSTEM_000_23,"Por favor, selecciona el esquema de control que te gustaría usar."
11,TEXT_OPENINGLIMSALOMINSA_FST_SYSTEM_Q_01,¿Qué esquema de controles te gustaría usar?
12,TEXT_OPENINGLIMSALOMINSA_FST_SYSTEM_A_01,Usaré el Teclado y el Ratón.
13,TEXT_OPENINGLIMSALOMINSA_FST_SYSTEM_A_02,"Usaré un Mando / Gamepad."
